"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"87","2016-01-27","W63132","BGY","OTP","2016-01-27T08:30:00.000","2016-01-27T11:45:00.000","32S"
"88","2016-01-27","W63138","MXP","OTP","2016-01-27T13:50:00.000","2016-01-27T17:10:00.000","32S"
"89","2016-01-27","W63142","CIA","OTP","2016-01-27T08:10:00.000","2016-01-27T11:15:00.000","32S"
"90","2016-01-27","W63146","CIA","OTP","2016-01-27T20:50:00.000","2016-01-27T23:55:00.000","32S"
"91","2016-01-27","W63152","CTA","OTP","2016-01-27T13:40:00.000","2016-01-27T16:50:00.000","32S"
"92","2016-01-27","W63160","TSF","OTP","2016-01-27T08:20:00.000","2016-01-27T11:20:00.000","32S"
"93","2016-01-27","W63164","BLQ","OTP","2016-01-27T14:00:00.000","2016-01-27T17:00:00.000","32S"
"94","2016-01-27","W63166","BRI","OTP","2016-01-27T15:55:00.000","2016-01-27T18:35:00.000","32S"
"95","2016-01-27","W63172","MAD","OTP","2016-01-27T21:20:00.000","2016-01-28T01:55:00.000","32S"
"96","2016-01-27","W63176","BCN","OTP","2016-01-27T20:40:00.000","2016-01-28T00:55:00.000","32S"
"97","2016-01-27","W63192","ZAZ","OTP","2016-01-27T21:10:00.000","2016-01-28T01:30:00.000","32S"
"98","2016-01-27","W63210","MMX","OTP","2016-01-27T08:20:00.000","2016-01-27T11:50:00.000","32S"
"99","2016-01-27","W63252","LCA","OTP","2016-01-27T16:05:00.000","2016-01-27T18:40:00.000","32S"
"100","2016-01-27","W63302","LTN","CLJ","2016-01-27T08:35:00.000","2016-01-27T13:30:00.000","32S"
"101","2016-01-27","W63304","LTN","CLJ","2016-01-27T18:20:00.000","2016-01-27T23:15:00.000","32S"
"102","2016-01-27","W63332","BVA","CLJ","2016-01-27T08:50:00.000","2016-01-27T12:25:00.000","32S"
"103","2016-01-27","W63382","BGY","CLJ","2016-01-27T15:45:00.000","2016-01-27T18:45:00.000","32S"
"104","2016-01-27","W63386","CIA","CLJ","2016-01-27T07:50:00.000","2016-01-27T10:45:00.000","32S"
"105","2016-01-27","W63406","BCN","CLJ","2016-01-27T19:55:00.000","2016-01-27T23:55:00.000","32S"
"106","2016-01-27","W63480","TLV","CLJ","2016-01-27T21:40:00.000","2016-01-28T00:55:00.000","32S"
"107","2016-01-27","W63502","LTN","TSR","2016-01-27T19:10:00.000","2016-01-27T23:55:00.000","32S"
