"","flight.nums.i.","flight.origin","flight.dest","airline"
"712","FR2678","CPH","LTN","FR"
"713","FR2679","LTN","CPH","FR"
"714","FR2682","STN","MAD","FR"
"715","FR2683","MAD","STN","FR"
"716","FR2684","EDI","STN","FR"
"717","FR2685","STN","EDI","FR"
"718","FR2688","ATH","SKG","FR"
"719","FR2689","SKG","ATH","FR"
"720","FR2692","CIA","LIS","FR"
"721","FR2693","LIS","CIA","FR"
"722","FR2694","LIS","OPO","FR"
"723","FR2695","OPO","LIS","FR"
"724","FR2743","VNO","BCN","FR"
"725","FR2744","BCN","VNO","FR"
"726","FR2746","LGW","KUN","FR"
"727","FR2747","KUN","LGW","FR"
"728","FR2772","STN","FEZ","FR"
"729","FR2773","FEZ","STN","FR"
"730","FR2813","CGN","STN","FR"
"731","FR2814","STN","CGN","FR"
"732","FR2815","CGN","STN","FR"
"733","FR2816","STN","CGN","FR"
"734","FR2817","CGN","STN","FR"
"735","FR2818","STN","CGN","FR"
"736","FR2831","CRL","BTS","FR"
"737","FR2832","BTS","CRL","FR"
"738","FR2844","NDR","BVA","FR"
"739","FR2845","BVA","NDR","FR"
"740","FR2854","RYG","KUN","FR"
"741","FR2855","KUN","RYG","FR"
"742","FR2871","VNO","BGY","FR"
"743","FR2883","VNO","RYG","FR"
"744","FR2884","RYG","VNO","FR"
"745","FR2891","CPH","NYO","FR"
"746","FR2892","NYO","CPH","FR"
"747","FR2904","SDR","TFS","FR"
"748","FR2906","DUB","BRE","FR"
"749","FR2907","BRE","DUB","FR"
"750","FR2913","MAD","TFS","FR"
"751","FR2914","TFS","MAD","FR"
"752","FR2915","BRU","PMI","FR"
"753","FR2916","PMI","BRU","FR"
"754","FR2917","BRU","BCN","FR"
"755","FR2918","BCN","BRU","FR"
"756","FR2921","BRU","BCN","FR"
"757","FR2922","BCN","BRU","FR"
"758","FR2923","BRU","AGP","FR"
"759","FR2924","AGP","BRU","FR"
"760","FR2925","BRU","LIS","FR"
"761","FR2926","LIS","BRU","FR"
"762","FR2928","BRU","OPO","FR"
"763","FR2929","OPO","BRU","FR"
"764","FR2931","BRU","LIS","FR"
"765","FR2932","LIS","BRU","FR"
"766","FR2933","BRU","ALC","FR"
"767","FR2934","ALC","BRU","FR"
"768","FR2935","BRU","TSF","FR"
"769","FR2936","TSF","BRU","FR"
"770","FR2938","BRU","BCN","FR"
"771","FR2939","BCN","BRU","FR"
"772","FR2941","LIS","HAM","FR"
"773","FR2942","HAM","LIS","FR"
"774","FR2945","OPO","SXF","FR"
"775","FR2946","SXF","OPO","FR"
"776","FR2971","DUB","KUN","FR"
"777","FR2972","KUN","DUB","FR"
"778","FR2983","BRU","FCO","FR"
"779","FR2984","FCO","BRU","FR"
"780","FR2985","BRU","VLC","FR"
