"","flight.date","fl.num","origin","dest","dep.time","arr.time","equipment","weekday","dep.airport","dep.city","dep.country","dep.lat","dep.long","arr.airport","arr.city","arr.country","arr.lat","arr.long"
"47","2016-01-27","W62202","LTN","BUD",2016-01-27 08:10:00,2016-01-27 11:35:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"48","2016-01-27","W62206","LTN","BUD",2016-01-27 14:25:00,2016-01-27 17:50:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"49","2016-01-27","W62208","LTN","BUD",2016-01-27 17:35:00,2016-01-27 21:00:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"50","2016-01-27","W62210","LTN","BUD",2016-01-27 20:40:00,2016-01-27 23:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"51","2016-01-27","W62272","EIN","BUD",2016-01-27 08:50:00,2016-01-27 10:45:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"52","2016-01-27","W62274","EIN","BUD",2016-01-27 17:40:00,2016-01-27 19:35:00,"32S","Wed","Eindhoven","Eindhoven","Netherlands",51.450139,5.374528,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"53","2016-01-27","W62282","CRL","BUD",2016-01-27 08:50:00,2016-01-27 10:45:00,"32S","Wed","Brussels South","Charleroi","Belgium",50.459197,4.453817,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"54","2016-01-27","W62292","DTM","BUD",2016-01-27 08:30:00,2016-01-27 10:15:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"55","2016-01-27","W62300","HHN","BUD",2016-01-27 16:45:00,2016-01-27 18:25:00,"32S","Wed","Frankfurt Hahn","Hahn","Germany",49.948672,7.263892,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"56","2016-01-27","W62334","MXP","BUD",2016-01-27 08:10:00,2016-01-27 09:45:00,"32S","Wed","Malpensa","Milano","Italy",45.630606,8.728111,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"57","2016-01-27","W62336","MXP","BUD",2016-01-27 22:15:00,2016-01-27 23:50:00,"32S","Wed","Malpensa","Milano","Italy",45.630606,8.728111,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"58","2016-01-27","W62340","FCO","BUD",2016-01-27 12:40:00,2016-01-27 14:20:00,"32S","Wed","Fiumicino","Rome","Italy",41.804475,12.250797,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"59","2016-01-27","W62356","BLQ","BUD",2016-01-27 14:20:00,2016-01-27 15:45:00,"32S","Wed","Bologna","Bologna","Italy",44.535444,11.288667,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"60","2016-01-27","W62362","BRI","BUD",2016-01-27 14:40:00,2016-01-27 16:10:00,"32S","Wed","Bari","Bari","Italy",41.138856,16.760594,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"61","2016-01-27","W62372","MAD","BUD",2016-01-27 20:50:00,2016-01-27 23:55:00,"32S","Wed","Barajas","Madrid","Spain",40.493556,-3.566764,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"62","2016-01-27","W62376","BCN","BUD",2016-01-27 09:15:00,2016-01-27 11:50:00,"32S","Wed","Barcelona","Barcelona","Spain",41.297078,2.078464,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"63","2016-01-27","W62394","LIS","BUD",2016-01-27 20:00:00,2016-01-28 00:35:00,"32S","Wed","Lisboa","Lisbon","Portugal",38.781311,-9.135919,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"64","2016-01-27","W62398","SAW","BUD",2016-01-27 15:05:00,2016-01-27 16:05:00,"32S","Wed","Sabiha Gokcen","Istanbul","Turkey",40.898553,29.309219,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"65","2016-01-27","W62404","NYO","BUD",2016-01-27 21:55:00,2016-01-27 23:55:00,"32S","Wed","Skavsta","Stockholm","Sweden",58.788636,16.912189,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"66","2016-01-27","W62410","MMX","BUD",2016-01-27 13:05:00,2016-01-27 14:50:00,"32S","Wed","Sturup","Malmoe","Sweden",55.530193,13.371639,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"67","2016-01-27","W62458","TLV","BUD",2016-01-27 11:15:00,2016-01-27 13:45:00,"32S","Wed","Ben Gurion","Tel-aviv","Israel",32.011389,34.886667,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"68","2016-01-27","W62468","WAW","BUD",2016-01-27 15:45:00,2016-01-27 17:00:00,"32S","Wed","Okecie","Warsaw","Poland",52.16575,20.967122,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"69","2016-01-27","W62474","IEV","BUD",2016-01-27 06:15:00,2016-01-27 07:00:00,"32S","Wed","Zhuliany Intl","Kiev","Ukraine",50.401694,30.449697,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"70","2016-01-27","W62490","VKO","BUD",2016-01-27 11:25:00,2016-01-27 12:05:00,"32S","Wed","Vnukovo","Moscow","Russia",55.591531,37.261486,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"71","2016-01-27","W62496","MLA","BUD",2016-01-27 14:15:00,2016-01-27 16:30:00,"32S","Wed","Luqa","Malta","Malta",35.857497,14.4775,"Ferihegy","Budapest","Hungary",47.436933,19.255592
"72","2016-01-27","W62502","LTN","RIX",2016-01-27 14:15:00,2016-01-27 18:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Riga Intl","Riga","Latvia",56.923611,23.971111
"73","2016-01-27","W62532","DTM","RIX",2016-01-27 12:50:00,2016-01-27 15:55:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Riga Intl","Riga","Latvia",56.923611,23.971111
"74","2016-01-27","W62564","BCN","RIX",2016-01-27 19:55:00,2016-01-28 00:30:00,"32S","Wed","Barcelona","Barcelona","Spain",41.297078,2.078464,"Riga Intl","Riga","Latvia",56.923611,23.971111
"75","2016-01-27","W62584","SVG","RIX",2016-01-27 07:40:00,2016-01-27 10:40:00,"32S","Wed","Sola","Stavanger","Norway",58.876778,5.637856,"Riga Intl","Riga","Latvia",56.923611,23.971111
"76","2016-01-27","W62602","LTN","PRG",2016-01-27 21:05:00,2016-01-27 23:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Ruzyne","Prague","Czech Republic",50.100833,14.26
"77","2016-01-27","W62682","BGY","PRG",2016-01-27 17:45:00,2016-01-27 19:05:00,"32S","Wed","Bergamo Orio Al Serio","Bergamo","Italy",45.673889,9.704166,"Ruzyne","Prague","Czech Republic",50.100833,14.26
"78","2016-01-27","W62692","NAP","PRG",2016-01-27 13:15:00,2016-01-27 15:15:00,"32S","Wed","Capodichino","Naples","Italy",40.886033,14.290781,"Ruzyne","Prague","Czech Republic",50.100833,14.26
"79","2016-01-27","W62802","LTN","BRQ",2016-01-27 07:30:00,2016-01-27 10:30:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Turany","Brno","Czech Republic",49.151269,16.694433
